suite,benchmark,#steps,dspv2 solved?,unigram solved?
minif2f@1,aime_1983_p1,56,1,-1
minif2f@1,aime_1983_p2,11,1,-1
minif2f@1,aime_1984_p1,13,1,-1
minif2f@1,aime_1984_p7,-1,0,-2
minif2f@1,aime_1987_p5,56,1,-1
minif2f@1,aime_1988_p8,61,1,-1
minif2f@1,aime_1989_p8,8,1,-1
minif2f@1,aime_1990_p4,16,1,-1
minif2f@1,aime_1990_p15,17,1,-1
minif2f@1,aime_1991_p9,25,1,-1
minif2f@1,aime_1994_p3,-1,0,-2
minif2f@1,aime_1997_p9,34,1,-1
minif2f@1,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7,16,1,-1
minif2f@1,algebra_9onxpypzleqsum2onxpy,28,0,-1
minif2f@1,algebra_absapbon1pabsapbleqsumabsaon1pabsa,42,0,-1
minif2f@1,algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1,21,1,-1
minif2f@1,algebra_amgm_sum1toneqn_prod1tonleq1,27,0,-1
minif2f@1,algebra_amgm_sumasqdivbgeqsuma,41,1,-1
minif2f@1,algebra_apbon2pownleqapownpbpowon2,31,0,-1
minif2f@1,algebra_apbpceq2_abpbcpcaeq1_aleq1on3anbleq1ancleq4on3,-1,0,-2
minif2f@1,algebra_sqineq_at2malt1,5,1,-1
minif2f@1,algebra_sqineq_unitcircatbpabsamblt1,16,1,-1
minif2f@1,algebra_sqineq_unitcircatbpamblt1,9,1,-1
minif2f@1,amc12_2000_p1,-1,1,-2
minif2f@1,amc12_2000_p6,20,1,-1
minif2f@1,amc12_2000_p12,-1,1,-2
minif2f@1,amc12_2000_p20,52,1,-1
minif2f@1,amc12_2001_p5,5,0,-1
minif2f@1,amc12_2001_p21,36,1,-1
minif2f@1,amc12a_2002_p6,2,1,-1
minif2f@1,amc12a_2002_p13,58,0,-1
minif2f@1,amc12a_2003_p5,37,1,-1
minif2f@1,amc12a_2008_p25,52,0,-1
minif2f@1,amc12a_2009_p7,12,1,-1
minif2f@1,amc12a_2013_p4,11,1,-1
minif2f@1,amc12a_2019_p12,50,1,-1
minif2f@1,amc12a_2021_p3,11,1,-1
minif2f@1,amc12a_2021_p8,92,0,-1
minif2f@1,amc12a_2021_p9,2,1,-1
minif2f@1,amc12a_2021_p14,40,1,-1
minif2f@1,amc12a_2021_p18,19,1,-1
minif2f@1,amc12a_2021_p19,-1,0,-2
minif2f@1,amc12a_2021_p22,-1,0,-2
minif2f@1,amc12b_2002_p2,8,1,-1
minif2f@1,amc12b_2002_p7,14,1,-1
minif2f@1,amc12b_2002_p19,35,1,-1
minif2f@1,amc12b_2020_p2,8,1,-1
minif2f@1,amc12b_2020_p6,12,1,-1
minif2f@1,amc12b_2020_p13,22,0,-1
minif2f@1,amc12b_2020_p21,48,1,-1
minif2f@1,amc12b_2021_p3,46,1,-1
minif2f@1,amc12b_2021_p4,16,1,-1
minif2f@1,amc12b_2021_p9,32,1,-1
minif2f@1,amc12b_2021_p18,21,1,-1
minif2f@1,imo_1959_p1,9,1,-1
minif2f@1,imo_1962_p2,27,1,-1
minif2f@1,imo_1963_p5,28,1,-1
minif2f@1,imo_1964_p2,21,1,-1
minif2f@1,imo_1965_p2,-1,0,-2
minif2f@1,imo_1968_p5_1,21,1,-1
minif2f@1,imo_1981_p6,45,1,-1
minif2f@1,imo_1983_p6,11,1,-1
minif2f@1,imo_1992_p1,-1,0,-2
minif2f@1,induction_1pxpownlt1pnx,15,1,-1
minif2f@1,induction_11div10tonmn1ton,6,1,-1
minif2f@1,induction_12dvd4expnp1p20,7,1,-1
minif2f@1,induction_nfactltnexpnm1ngt3,17,1,-1
minif2f@1,induction_pord1p1on2powklt5on2,24,0,-1
minif2f@1,induction_prod1p1onk3le3m1onn,4,1,-1
minif2f@1,induction_sumkexp3eqsumksq,17,1,-1
minif2f@1,mathd_algebra_24,5,1,-1
minif2f@1,mathd_algebra_33,18,1,-1
minif2f@1,mathd_algebra_44,6,1,-1
minif2f@1,mathd_algebra_76,6,1,-1
minif2f@1,mathd_algebra_80,5,1,-1
minif2f@1,mathd_algebra_107,4,1,-1
minif2f@1,mathd_algebra_113,5,1,-1
minif2f@1,mathd_algebra_114,40,1,-1
minif2f@1,mathd_algebra_125,11,1,-1
minif2f@1,mathd_algebra_129,15,1,-1
minif2f@1,mathd_algebra_137,4,1,-1
minif2f@1,mathd_algebra_139,6,1,-1
minif2f@1,mathd_algebra_141,10,1,-1
minif2f@1,mathd_algebra_142,9,1,-1
minif2f@1,mathd_algebra_143,3,1,-1
minif2f@1,mathd_algebra_148,9,1,-1
minif2f@1,mathd_algebra_153,6,1,-1
minif2f@1,mathd_algebra_156,20,1,-1
minif2f@1,mathd_algebra_158,16,1,-1
minif2f@1,mathd_algebra_160,6,1,-1
minif2f@1,mathd_algebra_170,13,1,-1
