type,problem_id,step_id,status,error_reason,total_steps,sanity_passed_steps,solved_steps,original_verification_pass,synthesized_verification_pass,decomposition_success,all_sanity_steps_have_tactic_success,sanity_check_pass,hole_verification_pass,filled_verification_pass,has_tactic_success,unigram_solved,norm_num,linarith,nlinarith,omega,ring,ring_nf,simp,simpa,field_simp
PROBLEM_OVERVIEW,aime_2024i_p7,OVERVIEW,SUCCESS,,15.0,10.0,7.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,
STEP_DETAIL,aime_2024i_p7,step_0001,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
STEP_DETAIL,aime_2024i_p7,step_0002,,,,,,,,,,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
STEP_DETAIL,aime_2024i_p7,step_0003,,,,,,,,,,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
STEP_DETAIL,aime_2024i_p7,step_0004,,,,,,,,,,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
STEP_DETAIL,aime_2024i_p7,step_0005,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEP_DETAIL,aime_2024i_p7,step_0006,,,,,,,,,,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
STEP_DETAIL,aime_2024i_p7,step_0007,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEP_DETAIL,aime_2024i_p7,step_0008,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEP_DETAIL,aime_2024i_p7,step_0009,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
STEP_DETAIL,aime_2024i_p7,step_0010,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEP_DETAIL,aime_2024i_p7,step_0011,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
