suite,benchmark,#steps,dspv2 solved?,unigram solved?
minif2f@1,aime_1983_p1,-1,0,-1
minif2f@1,aime_1983_p2,-1,0,-1
minif2f@1,aime_1984_p1,-1,0,-1
minif2f@1,aime_1984_p7,-1,0,-2
minif2f@1,aime_1987_p5,-1,0,-1
minif2f@1,aime_1988_p8,-1,0,-1
minif2f@1,aime_1989_p8,-1,0,0
minif2f@1,aime_1990_p4,-1,0,-1
minif2f@1,aime_1990_p15,-1,0,-1
minif2f@1,aime_1991_p9,-1,0,-1
minif2f@1,aime_1994_p3,-1,0,-2
minif2f@1,aime_1997_p9,-1,0,-1
minif2f@1,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7,-1,0,-1
minif2f@1,algebra_9onxpypzleqsum2onxpy,-1,0,-1
minif2f@1,algebra_absapbon1pabsapbleqsumabsaon1pabsa,-1,0,-1
minif2f@1,algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1,-1,0,-1
minif2f@1,algebra_amgm_sum1toneqn_prod1tonleq1,-1,0,-1
minif2f@1,algebra_amgm_sumasqdivbgeqsuma,-1,0,-1
minif2f@1,algebra_apbon2pownleqapownpbpowon2,-1,0,-1
minif2f@1,algebra_apbpceq2_abpbcpcaeq1_aleq1on3anbleq1ancleq4on3,-1,0,-2
minif2f@1,algebra_sqineq_at2malt1,-1,0,0
minif2f@1,algebra_sqineq_unitcircatbpabsamblt1,-1,0,-1
minif2f@1,algebra_sqineq_unitcircatbpamblt1,-1,0,0
minif2f@1,amc12_2000_p1,-1,0,-2
minif2f@1,amc12_2000_p6,-1,0,-1
minif2f@1,amc12_2000_p12,-1,0,-2
minif2f@1,amc12_2000_p20,-1,0,-1
minif2f@1,amc12_2001_p5,-1,0,-1
minif2f@1,amc12_2001_p21,-1,0,-1
minif2f@1,amc12a_2002_p6,-1,0,-1
minif2f@1,amc12a_2002_p13,-1,0,-1
minif2f@1,amc12a_2003_p5,-1,0,-1
minif2f@1,amc12a_2008_p25,-1,0,-1
minif2f@1,amc12a_2009_p7,-1,0,-1
minif2f@1,amc12a_2013_p4,-1,0,0
minif2f@1,amc12a_2019_p12,-1,0,-1
minif2f@1,amc12a_2021_p3,-1,0,0
minif2f@1,amc12a_2021_p8,-1,0,-1
minif2f@1,amc12a_2021_p9,-1,0,0
minif2f@1,amc12a_2021_p14,-1,0,-1
minif2f@1,amc12a_2021_p18,-1,0,0
minif2f@1,amc12a_2021_p19,-1,0,-2
minif2f@1,amc12a_2021_p22,-1,0,-2
minif2f@1,amc12b_2002_p2,-1,0,0
minif2f@1,amc12b_2002_p7,-1,0,-1
minif2f@1,amc12b_2002_p19,-1,0,-1
minif2f@1,amc12b_2020_p2,-1,0,0
minif2f@1,amc12b_2020_p6,-1,0,-1
minif2f@1,amc12b_2020_p13,-1,0,-1
minif2f@1,amc12b_2020_p21,-1,0,-1
minif2f@1,amc12b_2021_p3,-1,0,-1
minif2f@1,amc12b_2021_p4,-1,0,-1
minif2f@1,amc12b_2021_p9,-1,0,-1
minif2f@1,amc12b_2021_p18,-1,0,-1
minif2f@1,imo_1959_p1,-1,0,-1
minif2f@1,imo_1962_p2,-1,0,-1
minif2f@1,imo_1963_p5,-1,0,-1
minif2f@1,imo_1964_p2,-1,0,-1
minif2f@1,imo_1965_p2,-1,0,-2
minif2f@1,imo_1968_p5_1,-1,0,-1
minif2f@1,imo_1981_p6,-1,0,-1
minif2f@1,imo_1983_p6,-1,0,-1
minif2f@1,imo_1992_p1,-1,0,-2
minif2f@1,induction_1pxpownlt1pnx,-1,0,-1
minif2f@1,induction_11div10tonmn1ton,-1,0,-1
minif2f@1,induction_12dvd4expnp1p20,-1,0,-1
minif2f@1,induction_nfactltnexpnm1ngt3,-1,0,-1
minif2f@1,induction_pord1p1on2powklt5on2,-1,0,-1
minif2f@1,induction_prod1p1onk3le3m1onn,-1,0,-1
minif2f@1,induction_sumkexp3eqsumksq,-1,0,-1
minif2f@1,mathd_algebra_24,-1,0,0
minif2f@1,mathd_algebra_33,-1,0,-1
minif2f@1,mathd_algebra_44,-1,0,0
minif2f@1,mathd_algebra_76,-1,0,-1
minif2f@1,mathd_algebra_80,-1,0,-1
minif2f@1,mathd_algebra_107,-1,0,0
minif2f@1,mathd_algebra_113,-1,0,0
minif2f@1,mathd_algebra_114,-1,0,-1
minif2f@1,mathd_algebra_125,-1,0,0
minif2f@1,mathd_algebra_129,-1,0,0
minif2f@1,mathd_algebra_137,-1,0,-1
minif2f@1,mathd_algebra_139,-1,0,-1
minif2f@1,mathd_algebra_141,-1,0,0
minif2f@1,mathd_algebra_142,-1,0,0
minif2f@1,mathd_algebra_143,-1,0,-1
minif2f@1,mathd_algebra_148,-1,0,-1
minif2f@1,mathd_algebra_153,-1,0,-1
minif2f@1,mathd_algebra_156,-1,0,-1
minif2f@1,mathd_algebra_158,-1,0,-1
minif2f@1,mathd_algebra_160,-1,0,0
minif2f@1,mathd_algebra_170,-1,0,-1
minif2f@1,mathd_algebra_171,-1,0,-1
minif2f@1,mathd_algebra_176,-1,0,0
minif2f@1,mathd_algebra_184,-1,0,-1
minif2f@1,mathd_algebra_188,-1,0,-1
minif2f@1,mathd_algebra_196,-1,0,-1
minif2f@1,mathd_algebra_208,-1,0,-1
minif2f@1,mathd_algebra_209,-1,0,-1
minif2f@1,mathd_algebra_215,-1,0,-1
minif2f@1,mathd_algebra_246,-1,0,-1
minif2f@1,mathd_algebra_263,-1,0,0
minif2f@1,mathd_algebra_270,-1,0,-1
minif2f@1,mathd_algebra_275,-1,0,0
minif2f@1,mathd_algebra_276,-1,0,-1
minif2f@1,mathd_algebra_288,-1,0,-1
minif2f@1,mathd_algebra_289,-1,0,-1
minif2f@1,mathd_algebra_296,-1,0,0
minif2f@1,mathd_algebra_302,-1,0,-1
minif2f@1,mathd_algebra_304,-1,0,0
minif2f@1,mathd_algebra_313,-1,0,-1
minif2f@1,mathd_algebra_314,-1,0,0
minif2f@1,mathd_algebra_320,-1,0,-1
minif2f@1,mathd_algebra_329,-1,0,0
minif2f@1,mathd_algebra_332,-1,0,-1
minif2f@1,mathd_algebra_338,-1,0,-1
minif2f@1,mathd_algebra_342,-1,0,-1
minif2f@1,mathd_algebra_346,-1,0,-1
minif2f@1,mathd_algebra_354,-1,0,0
minif2f@1,mathd_algebra_359,-1,0,0
minif2f@1,mathd_algebra_362,-1,0,-1
minif2f@1,mathd_algebra_388,-1,0,0
minif2f@1,mathd_algebra_392,-1,0,-1
minif2f@1,mathd_algebra_398,-1,0,0
minif2f@1,mathd_algebra_400,-1,0,0
minif2f@1,mathd_algebra_412,-1,0,0
minif2f@1,mathd_algebra_419,-1,0,0
minif2f@1,mathd_algebra_427,-1,0,0
minif2f@1,mathd_algebra_432,-1,0,0
minif2f@1,mathd_algebra_440,-1,0,0
minif2f@1,mathd_algebra_441,-1,0,-1
minif2f@1,mathd_algebra_452,-1,0,0
minif2f@1,mathd_algebra_459,-1,0,-1
minif2f@1,mathd_algebra_478,-1,0,0
minif2f@1,mathd_algebra_484,-1,0,0
minif2f@1,mathd_algebra_487,-1,0,-1
minif2f@1,mathd_algebra_513,-1,0,0
minif2f@1,mathd_algebra_598,-1,0,-1
minif2f@1,mathd_algebra_756,-1,0,-1
minif2f@1,mathd_numbertheory_3,-1,0,0
minif2f@1,mathd_numbertheory_5,-1,0,-1
minif2f@1,mathd_numbertheory_12,-1,0,0
minif2f@1,mathd_numbertheory_34,-1,0,0
minif2f@1,mathd_numbertheory_66,-1,0,0
minif2f@1,mathd_numbertheory_85,-1,0,0
minif2f@1,mathd_numbertheory_99,-1,0,0
minif2f@1,mathd_numbertheory_100,-1,0,-1
minif2f@1,mathd_numbertheory_127,-1,0,0
minif2f@1,mathd_numbertheory_135,-1,0,-1
minif2f@1,mathd_numbertheory_150,-1,0,-1
minif2f@1,mathd_numbertheory_175,-1,0,-1
minif2f@1,mathd_numbertheory_185,-1,0,0
minif2f@1,mathd_numbertheory_207,-1,0,0
minif2f@1,mathd_numbertheory_212,-1,0,0
minif2f@1,mathd_numbertheory_222,-1,0,-1
minif2f@1,mathd_numbertheory_227,-1,0,-1
minif2f@1,mathd_numbertheory_229,-1,0,0
minif2f@1,mathd_numbertheory_234,-1,0,-1
minif2f@1,mathd_numbertheory_235,-1,0,0
minif2f@1,mathd_numbertheory_237,-1,0,0
minif2f@1,mathd_numbertheory_239,-1,0,0
minif2f@1,mathd_numbertheory_247,-1,0,0
minif2f@1,mathd_numbertheory_254,-1,0,0
minif2f@1,mathd_numbertheory_277,-1,0,-1
minif2f@1,mathd_numbertheory_293,-1,0,0
minif2f@1,mathd_numbertheory_296,-1,0,-1
minif2f@1,mathd_numbertheory_299,-1,0,0
minif2f@1,mathd_numbertheory_314,-1,0,0
minif2f@1,mathd_numbertheory_320,-1,0,0
minif2f@1,mathd_numbertheory_328,-1,0,0
minif2f@1,mathd_numbertheory_341,-1,0,-1
minif2f@1,mathd_numbertheory_342,-1,0,0
minif2f@1,mathd_numbertheory_343,-1,0,0
minif2f@1,mathd_numbertheory_345,-1,0,0
minif2f@1,mathd_numbertheory_353,-1,0,-1
minif2f@1,mathd_numbertheory_427,-1,0,-1
minif2f@1,mathd_numbertheory_430,-1,0,0
minif2f@1,mathd_numbertheory_435,-1,0,-1
minif2f@1,mathd_numbertheory_447,-1,0,0
minif2f@1,mathd_numbertheory_457,-1,0,-1
minif2f@1,mathd_numbertheory_483,-1,0,0
minif2f@1,mathd_numbertheory_495,-1,0,-1
minif2f@1,mathd_numbertheory_517,-1,0,0
minif2f@1,mathd_numbertheory_521,-1,0,-1
minif2f@1,mathd_numbertheory_541,-1,0,-2
minif2f@1,mathd_numbertheory_551,-1,0,0
minif2f@1,mathd_numbertheory_552,-1,0,-1
minif2f@1,mathd_numbertheory_559,-1,0,0
minif2f@1,mathd_numbertheory_582,-1,0,0
minif2f@1,mathd_numbertheory_618,-1,0,-1
minif2f@1,mathd_numbertheory_711,-1,0,-1
minif2f@1,mathd_numbertheory_728,-1,0,0
minif2f@1,mathd_numbertheory_765,-1,0,0
