suite,benchmark,#steps,dspv2 solved?,unigram solved?
proverbench@1,abstract_algebra__p1,-1,0,-2
proverbench@1,abstract_algebra__p2,-1,0,-2
proverbench@1,abstract_algebra__p3,2,0,0
proverbench@1,abstract_algebra__p4_1,-1,0,-2
proverbench@1,abstract_algebra__p4_2,2,0,0
proverbench@1,abstract_algebra__p4_3,-1,0,-2
proverbench@1,abstract_algebra__p5,2,0,-1
proverbench@1,abstract_algebra__p6,-1,0,-2
proverbench@1,abstract_algebra__p7,-1,0,-2
proverbench@1,abstract_algebra__p8,2,0,-1
proverbench@1,abstract_algebra__p9,-1,0,-2
proverbench@1,abstract_algebra__p10,20,0,0
proverbench@1,abstract_algebra__p11_1,2,0,-1
proverbench@1,abstract_algebra__p11_2,3,0,-1
proverbench@1,abstract_algebra__p11_3,5,0,-1
proverbench@1,abstract_algebra__p12,9,0,-1
proverbench@1,abstract_algebra__p13,3,1,0
proverbench@1,abstract_algebra__p14,1,0,-1
proverbench@1,abstract_algebra__p15,-1,0,-2
proverbench@1,abstract_algebra__p16,-1,0,-2
proverbench@1,abstract_algebra__p17,2,0,-1
proverbench@1,abstract_algebra__p18,35,0,-1
proverbench@1,abstract_algebra__p19,4,0,0
proverbench@1,abstract_algebra__p20,-1,0,-2
proverbench@1,abstract_algebra__p21,-1,0,-2
proverbench@1,abstract_algebra__p22,-1,0,-2
proverbench@1,abstract_algebra__p23,10,0,-1
proverbench@1,abstract_algebra__p24,4,0,-1
proverbench@1,abstract_algebra__p25,-1,0,-2
proverbench@1,abstract_algebra__p26_1,8,0,-1
proverbench@1,abstract_algebra__p26_2,3,0,-1
proverbench@1,abstract_algebra__p27,4,0,-1
proverbench@1,abstract_algebra__p28,-1,0,-2
proverbench@1,abstract_algebra__p29,-1,0,-2
proverbench@1,abstract_algebra__p30,5,0,0
proverbench@1,abstract_algebra__p31,-1,0,-2
proverbench@1,abstract_algebra__p32,-1,0,-2
proverbench@1,abstract_algebra__p33,-1,0,-2
proverbench@1,abstract_algebra__p34,-1,0,-2
proverbench@1,abstract_algebra__p35,-1,0,-2
proverbench@1,aime_2024i_p2,28,0,0
proverbench@1,aime_2024i_p7,15,0,0
proverbench@1,aime_2024i_p13,19,0,-1
proverbench@1,aime_2024ii_p4,68,0,-1
proverbench@1,aime_2024ii_p7,-1,0,-2
proverbench@1,aime_2024ii_p13,3,0,0
proverbench@1,aime_2024ii_p14,15,0,-1
proverbench@1,aime_2025i_p1,23,0,0
proverbench@1,aime_2025i_p8,6,0,0
proverbench@1,aime_2025i_p9,23,0,0
proverbench@1,aime_2025i_p11,26,0,0
proverbench@1,aime_2025ii_p2,14,0,0
proverbench@1,aime_2025ii_p4,-1,0,-2
proverbench@1,aime_2025ii_p13,2,0,-1
proverbench@1,aime_2025ii_p15,4,0,-1
proverbench@1,calculus__p1,-1,0,-2
proverbench@1,calculus__p2,5,0,-1
proverbench@1,calculus__p3,-1,0,-2
proverbench@1,calculus__p4,37,0,-1
proverbench@1,calculus__p5,-1,0,-2
proverbench@1,calculus__p6,8,1,0
proverbench@1,calculus__p7,-1,0,-2
proverbench@1,calculus__p8,13,1,0
proverbench@1,calculus__p9,31,0,0
proverbench@1,calculus__p10,-1,0,-2
proverbench@1,calculus__p11,2,1,0
proverbench@1,calculus__p12,4,0,0
proverbench@1,calculus__p13_1,3,0,-1
proverbench@1,calculus__p13_2,1,0,-1
proverbench@1,calculus__p13_3,6,1,0
proverbench@1,calculus__p13_4,6,0,-1
proverbench@1,calculus__p13_5,8,0,0
proverbench@1,calculus__p14,-1,0,-2
proverbench@1,calculus__p15,-1,0,-2
proverbench@1,calculus__p16,-1,0,-2
proverbench@1,calculus__p17,8,0,0
proverbench@1,calculus__p18,18,0,0
proverbench@1,calculus__p19,6,0,-1
proverbench@1,calculus__p20,-1,0,-2
proverbench@1,calculus__p21,-1,0,-2
proverbench@1,calculus__p22,-1,0,-2
proverbench@1,calculus__p23_1,23,0,-1
proverbench@1,calculus__p23_2,2,0,-1
proverbench@1,calculus__p23_3,-1,0,-2
proverbench@1,calculus__p24,10,0,-1
proverbench@1,calculus__p25,12,1,0
proverbench@1,calculus__p26,2,1,0
proverbench@1,calculus__p27,-1,0,-2
proverbench@1,calculus__p28,-1,0,-2
proverbench@1,calculus__p29,5,0,-1
proverbench@1,calculus__p30,2,0,-1
proverbench@1,calculus__p31,22,0,0
proverbench@1,calculus__p32,8,0,0
proverbench@1,calculus__p33,2,0,-1
proverbench@1,calculus__p34,2,0,-1
proverbench@1,calculus__p35_1,9,0,-1
proverbench@1,calculus__p35_2,4,0,-1
proverbench@1,calculus__p35_3,-1,0,-2
proverbench@1,calculus__p35_4,-1,0,-2
proverbench@1,calculus__p35_5,-1,0,-2
proverbench@1,calculus__p35_6,-1,0,-2
proverbench@1,calculus__p36,4,0,0
proverbench@1,calculus__p37,4,0,-1
proverbench@1,calculus__p38,3,0,-1
proverbench@1,calculus__p39,5,1,0
proverbench@1,calculus__p40,9,1,0
proverbench@1,calculus__p41,20,0,-1
proverbench@1,calculus__p42,23,1,0
proverbench@1,calculus__p43_1,3,0,-1
proverbench@1,calculus__p43_2,4,0,-1
proverbench@1,calculus__p43_3,4,0,-1
proverbench@1,calculus__p43_4,7,0,-1
proverbench@1,calculus__p44,46,0,-1
proverbench@1,calculus__p45,-1,0,-2
proverbench@1,calculus__p46,3,1,0
proverbench@1,calculus__p47,13,0,-1
proverbench@1,calculus__p48_1,2,0,0
proverbench@1,calculus__p48_2,4,0,-1
proverbench@1,calculus__p49,8,0,-1
proverbench@1,calculus__p50,8,0,-1
proverbench@1,calculus__p51,56,0,-1
proverbench@1,calculus__p52,9,0,0
proverbench@1,calculus__p53,42,0,-1
proverbench@1,calculus__p54,-1,0,-2
proverbench@1,calculus__p55,6,0,-1
proverbench@1,calculus__p56,16,0,-1
proverbench@1,calculus__p57_1,22,0,-1
proverbench@1,calculus__p57_2,4,1,0
proverbench@1,calculus__p57_3,3,0,-1
proverbench@1,calculus__p57_4,3,0,-1
proverbench@1,calculus__p58,-1,0,-2
proverbench@1,calculus__p59,-1,0,-2
proverbench@1,calculus__p60,40,0,-1
proverbench@1,calculus__p61,7,0,-1
proverbench@1,calculus__p62,-1,0,-2
proverbench@1,calculus__p63,18,0,0
proverbench@1,calculus__p64_1,-1,0,-2
proverbench@1,calculus__p64_2,-1,0,-2
proverbench@1,calculus__p64_3,-1,0,-2
proverbench@1,calculus__p64_4,-1,0,-2
proverbench@1,calculus__p64_5,-1,0,-2
proverbench@1,calculus__p65,2,1,0
proverbench@1,calculus__p66,1,0,-1
proverbench@1,calculus__p67,3,1,0
proverbench@1,calculus__p68,-1,0,-2
proverbench@1,complex_analysis__p1,-1,0,-2
proverbench@1,complex_analysis__p2_1,7,0,0
proverbench@1,complex_analysis__p2_2,5,0,0
proverbench@1,complex_analysis__p2_3,5,0,-1
proverbench@1,complex_analysis__p3_1,12,0,-1
proverbench@1,complex_analysis__p3_2,-1,0,-2
proverbench@1,complex_analysis__p3_3,28,0,-1
proverbench@1,complex_analysis__p3_4,3,0,-1
proverbench@1,complex_analysis__p4_1,-1,0,-2
proverbench@1,complex_analysis__p4_2,-1,0,-2
proverbench@1,elementary_algebra__p1,2,0,-1
proverbench@1,elementary_algebra__p2,-1,0,-2
proverbench@1,elementary_algebra__p3,-1,0,-2
proverbench@1,elementary_algebra__p4,8,1,0
proverbench@1,elementary_algebra__p5,3,0,-1
proverbench@1,elementary_algebra__p6,-1,0,-2
proverbench@1,elementary_algebra__p7,4,0,-1
proverbench@1,elementary_algebra__p8_1,-1,0,-2
proverbench@1,elementary_algebra__p8_2,-1,0,-2
proverbench@1,elementary_algebra__p8_3,5,0,-1
proverbench@1,elementary_algebra__p9,11,0,-1
proverbench@1,elementary_algebra__p10,20,1,0
proverbench@1,elementary_algebra__p11,5,0,0
proverbench@1,elementary_algebra__p12,3,0,-1
proverbench@1,elementary_algebra__p13,-1,0,-2
proverbench@1,elementary_algebra__p14_1,4,0,-1
proverbench@1,elementary_algebra__p14_2,8,0,-1
proverbench@1,elementary_algebra__p14_3,7,0,-1
proverbench@1,elementary_algebra__p15,4,1,0
proverbench@1,elementary_algebra__p16_1,8,0,-1
proverbench@1,elementary_algebra__p16_2,8,0,-1
proverbench@1,elementary_algebra__p16_3,2,0,-1
proverbench@1,elementary_algebra__p17,-1,0,-2
proverbench@1,elementary_algebra__p18,-1,0,-2
proverbench@1,elementary_algebra__p19,9,0,-1
proverbench@1,elementary_algebra__p20,11,0,-1
proverbench@1,elementary_algebra__p21,6,1,0
proverbench@1,elementary_algebra__p22,10,0,0
proverbench@1,elementary_algebra__p23,-1,0,-2
proverbench@1,elementary_algebra__p24,9,0,0
proverbench@1,functional_analysis__p1_1,2,0,-1
proverbench@1,functional_analysis__p1_2,4,0,-1
proverbench@1,functional_analysis__p1_3,15,0,-1
proverbench@1,functional_analysis__p1_4,-1,0,-2
proverbench@1,functional_analysis__p1_5,-1,0,-2
proverbench@1,functional_analysis__p1_6,-1,0,-2
proverbench@1,functional_analysis__p1_7,21,0,-1
proverbench@1,functional_analysis__p1_8,5,0,-1
proverbench@1,functional_analysis__p2_1,-1,0,-2
proverbench@1,functional_analysis__p2_2,-1,0,-2
proverbench@1,linear_algebra__p1_1,-1,0,-2
proverbench@1,linear_algebra__p1_2,-1,0,-2
proverbench@1,linear_algebra__p2_1,4,0,0
proverbench@1,linear_algebra__p2_2,2,0,-1
proverbench@1,linear_algebra__p3_1,2,0,-1
proverbench@1,linear_algebra__p3_2,-1,0,-2
proverbench@1,linear_algebra__p3_3,-1,0,-2
proverbench@1,linear_algebra__p4_1,1,0,-1
proverbench@1,linear_algebra__p4_2,7,0,-1
proverbench@1,linear_algebra__p5_1,3,0,-1
proverbench@1,linear_algebra__p5_2,-1,0,-2
proverbench@1,linear_algebra__p5_3,4,0,-1
proverbench@1,linear_algebra__p6,-1,0,-2
proverbench@1,linear_algebra__p7,-1,0,-2
proverbench@1,linear_algebra__p8_1,-1,0,-2
proverbench@1,linear_algebra__p8_2,6,1,0
proverbench@1,linear_algebra__p8_3,12,0,0
proverbench@1,linear_algebra__p9_1,2,0,-1
proverbench@1,linear_algebra__p9_2,3,0,-1
proverbench@1,linear_algebra__p9_3,2,0,-1
proverbench@1,linear_algebra__p10_1,-1,0,-2
proverbench@1,linear_algebra__p10_2,-1,0,-2
proverbench@1,linear_algebra__p10_3,-1,0,-2
proverbench@1,linear_algebra__p11_1,-1,0,-2
proverbench@1,linear_algebra__p11_2,-1,0,-2
proverbench@1,linear_algebra__p12,-1,0,-2
proverbench@1,linear_algebra__p13_1,-1,0,-2
proverbench@1,linear_algebra__p13_2,2,0,-1
proverbench@1,linear_algebra__p14_1,-1,0,-2
proverbench@1,linear_algebra__p14_2,-1,0,-2
proverbench@1,linear_algebra__p14_3,-1,0,-2
proverbench@1,linear_algebra__p15_1,-1,0,-2
proverbench@1,linear_algebra__p15_2,-1,0,-2
proverbench@1,linear_algebra__p16,11,0,0
proverbench@1,linear_algebra__p17,-1,0,-2
proverbench@1,linear_algebra__p18_1,-1,0,-2
proverbench@1,linear_algebra__p18_2,-1,0,-2
proverbench@1,linear_algebra__p19_1,-1,0,-2
proverbench@1,linear_algebra__p19_2,-1,0,-2
proverbench@1,linear_algebra__p19_3,-1,0,-2
proverbench@1,linear_algebra__p20_1,-1,0,-2
proverbench@1,linear_algebra__p20_2,-1,0,-2
proverbench@1,linear_algebra__p20_3,-1,0,-2
proverbench@1,linear_algebra__p21_1,2,0,-1
proverbench@1,linear_algebra__p21_2,2,0,-1
proverbench@1,linear_algebra__p22,8,0,-1
proverbench@1,linear_algebra__p23_1,-1,0,-2
proverbench@1,linear_algebra__p23_2,-1,0,-2
proverbench@1,linear_algebra__p24,-1,0,-2
proverbench@1,linear_algebra__p25,2,0,-1
proverbench@1,number_theory__p1,66,0,-1
proverbench@1,number_theory__p2,26,0,0
proverbench@1,number_theory__p3_1,4,0,-1
proverbench@1,number_theory__p3_2,6,1,-1
proverbench@1,number_theory__p3_3,9,0,-1
proverbench@1,number_theory__p4,-1,0,-2
proverbench@1,number_theory__p5,-1,0,-2
proverbench@1,number_theory__p6,22,0,0
proverbench@1,number_theory__p7,4,0,0
proverbench@1,number_theory__p8,34,0,0
proverbench@1,number_theory__p9,94,0,-1
proverbench@1,number_theory__p10,26,0,-1
proverbench@1,number_theory__p11,55,0,-1
proverbench@1,number_theory__p12,27,0,-1
